iter	Passed	Remaining
455	939	1120
456	940	1117
457	941	1113
458	942	1110
459	943	1107
460	944	1104
461	945	1100
462	946	1097
463	949	1096
464	950	1093
465	952	1091
466	953	1087
467	954	1084
468	955	1081
469	956	1078
470	957	1075
471	958	1072
472	959	1069
473	960	1066
474	961	1063
475	963	1060
476	964	1057
477	964	1053
478	966	1050
479	967	1047
480	968	1045
481	969	1042
482	970	1039
483	971	1036
484	972	1033
485	973	1030
486	974	1027
487	978	1026
488	979	1023
489	980	1020
490	981	1017
491	982	1014
492	984	1012
493	988	1012
494	989	1009
495	990	1006
496	993	1005
497	995	1003
498	996	1000
499	998	998
500	999	995
501	1001	993
502	1005	993
503	1006	990
504	1008	988
505	1010	986
506	1011	983
507	1013	981
508	1014	978
509	1015	976
510	1022	978
511	1026	978
512	1031	978
513	1035	978
514	1038	977
515	1039	974
516	1041	972
517	1042	970
518	1044	967
519	1045	965
520	1046	962
521	1049	960
522	1050	958
523	1051	955
524	1053	953
525	1055	950
526	1056	948
527	1057	945
528	1059	943
529	1062	942
530	1064	939
531	1065	937
532	1067	935
533	1068	932
534	1069	929
535	1071	927
536	1072	925
537	1078	926
538	1081	925
539	1083	923
540	1085	920
541	1088	919
542	1093	920
543	1098	920
544	1100	918
545	1101	915
546	1102	912
547	1104	910
548	1109	911
549	1110	908
550	1112	906
551	1113	903
552	1114	901
553	1116	898
554	1118	896
555	1129	901
556	1134	902
557	1135	899
558	1137	897
559	1139	895
560	1142	893
561	1143	891
562	1144	888
563	1147	886
564	1149	885
565	1152	883
566	1156	883
567	1161	883
568	1166	883
569	1167	880
570	1170	879
571	1171	876
572	1173	874
573	1179	875
574	1184	875
575	1186	873
576	1188	871
577	1190	869
578	1191	866
579	1196	866
580	1198	864
581	1200	862
582	1201	859
583	1203	857
584	1205	855
585	1206	852
586	1210	851
587	1214	851
588	1216	849
589	1218	846
590	1219	844
591	1221	842
592	1223	839
593	1225	837
594	1226	834
595	1229	833
596	1230	830
597	1231	827
598	1232	825
599	1234	822
600	1240	823
601	1242	821
602	1243	818
603	1244	816
604	1246	813
605	1248	811
606	1249	808
607	1253	808
608	1255	806
609	1257	803
610	1258	801
611	1259	798
612	1261	796
613	1262	793
614	1264	791
615	1275	794
616	1276	792
617	1277	789
618	1279	787
619	1280	784
620	1285	784
621	1287	782
622	1288	779
623	1290	777
624	1291	774
625	1293	772
626	1294	770
627	1295	767
628	1300	767
629	1302	764
630	1304	762
631	1305	760
632	1307	757
633	1308	755
634	1309	752
635	1311	750
636	1315	749
637	1316	746
638	1317	744
639	1318	741
640	1321	739
641	1322	737
642	1323	734
643	1325	732
644	1326	730
645	1331	729
646	1334	728
647	1336	725
648	1337	723
649	1339	721
650	1340	718
651	1342	716
652	1347	715
653	1349	713
654	1350	711
655	1351	708
656	1352	706
657	1354	703
658	1355	701
659	1357	699
660	1362	698
661	1365	697
662	1368	695
663	1369	693
664	1371	690
665	1373	688
666	1377	687
667	1379	685
668	1380	683
669	1382	680
670	1383	678
671	1384	675
672	1386	673
673	1388	671
674	1393	670
675	1395	669
676	1398	667
677	1401	665
678	1402	662
679	1404	661
680	1406	658
681	1407	656
682	1408	653
683	1410	651
684	1412	649
685	1413	646
686	1414	644
687	1416	642
688	1421	641
689	1426	640
690	1428	638
691	1429	636
692	1431	634
693	1435	632
694	1437	630
695	1440	629
696	1442	627
697	1444	624
698	1445	622
699	1451	622
700	1453	619
701	1455	617
702	1460	617
703	1463	615
704	1469	614
705	1471	612
706	1472	610
707	1473	607
708	1475	605
709	1481	604
710	1482	602
711	1487	601
712	1488	599
713	1490	596
714	1491	594
715	1492	591
716	1493	589
717	1494	587
718	1495	584
719	1496	582
720	1497	579
721	1498	577
722	1499	574
723	1500	572
724	1501	569
725	1502	567
726	1503	564
727	1507	563
728	1509	561
729	1510	558
730	1513	556
731	1514	554
732	1515	552
733	1516	549
734	1518	547
735	1519	544
736	1523	543
737	1524	541
738	1526	539
739	1527	536
740	1528	534
741	1529	531
742	1530	529
743	1531	526
744	1532	524
745	1533	522
746	1537	520
747	1539	518
748	1540	516
749	1542	514
750	1543	511
751	1544	509
752	1545	507
753	1546	504
754	1547	502
755	1548	499
756	1549	497
757	1555	496
758	1558	494
759	1560	492
760	1562	490
761	1563	488
762	1564	485
763	1567	484
764	1569	482
765	1571	480
766	1572	477
767	1574	475
768	1574	473
769	1575	470
770	1576	468
771	1577	465
772	1578	463
773	1580	461
774	1581	459
775	1582	456
776	1583	454
777	1584	452
778	1585	449
779	1586	447
780	1587	445
781	1588	442
782	1589	440
783	1591	438
784	1592	436
785	1594	434
786	1596	432
787	1597	429
788	1599	427
789	1600	425
790	1601	423
791	1602	420
792	1603	418
793	1605	416
794	1606	414
795	1607	411
796	1608	409
797	1611	407
798	1612	405
799	1613	403
800	1614	401
801	1615	398
802	1616	396
803	1617	394
804	1619	392
805	1620	389
